matricola;Classe
20239;3HI
20148;3AE
20135;4DI
20312;4AC
20327;4AC
20297;4AC
20363;4BL
20346;4GI
20249;4GI
20492;4BL
20305;3BL
20096;4FI
20536;4AT
20545;5AA
20548;5BI
20549;4FI
20552;5BI
20557;5BL
20559;5AI
20564;4GI
20566;4BL
20568;4AI
20569;4AT
20572;4FI
20570;4AL
20573;3AT
20926;3AT
20662;3FI
20659;3BL
20880;3AT
20724;3AT
20985;3HI
20958;3AE
20919;3BL
20658;3HI
20749;3DI
20700;2DI
20875;3AL
20743;3AT
20857;3AL
20758;3AL
20805;3GI
20991;3CE
20859;3BI
20687;3CI
20682;3CE
20971;3AC
20650;2FL
20881;3AC
20638;3BI
20692;3FI
20746;3BE
20841;2LE
20969;3AL
20890;3DI
20871;2FL
20635;3CE
20739;3FI
20944;3AI
20633;3AC
20885;3GI
20733;3BI
20962;3CE
20906;3BE
20760;3BI
20911;3GI
20938;3FI
20826;3BE
20767;3AT
20838;3EI
20886;3HI
21039;3AL
20764;3FI
20705;3AT
20905;3CI
20723;3FI
20860;3DI
20778;3CE
20680;3BE
20963;3HI
20914;3BE
20649;3AE
20651;2EI
20917;3HI
20629;3CE
20836;3CI
20929;3BI
20996;3AE
20590;2CI
20612;3AT
20591;3CE
20982;3BL
20787;3CE
20613;3AE
20616;3AE
20831;3GI
20669;2PE
20656;3BE
20689;3AC
20856;3AT
20708;3AT
20652;2DI
20833;3DI
20843;3AI
20698;3FI
20768;2ME
20673;3BL
20943;3BL
20957;2PE
20623;3CE
20595;3CE
20596;2AI
20973;3CI
20823;3CI
20815;3CI
20626;3CE
20980;3CI
20668;3AL
20641;3HI
20975;2EI
20640;3GI
20634;3AC
20855;3DI
20581;3CE
20932;3CE
20754;3FI
20604;3EI
20600;3HI
20597;3AE
20728;3BI
20816;3CI
20678;3CE
20761;3GI
20941;3AI
20934;3BE
20800;3BE
20738;3BL
20587;3CE
20865;3AT
20994;3AI
20903;3AE
20679;3CE
20755;2FL
20730;3HI
20862;3GI
20646;3AC
20852;3HI
20935;2NE
20751;3AI
20617;3CE
20925;3GI
20735;3BE
20660;3BE
20695;2BI
20840;3AI
20877;3FI
20824;3AE
20829;3BL
20643;2BI
20713;3AE
20592;2PE
20808;3AI
20868;3AL
20607;3AC
20866;3AE
20582;3AI
20732;2DI
20756;3CE
20711;3AT
20940;3AT
20964;3CE
20895;3AT
20647;2BI
20908;3GI
20627;3AC
20583;3CE
20879;3AL
20681;3CI
20729;3AT
20907;3AT
20628;3AE
20606;3AE
20674;3EI
20670;2IL
20893;3FI
20710;3BL
20684;3BL
20609;2AI
20693;3HI
20946;3BL
20894;3BI
20753;3AI
20745;3DI
20807;3AI
20637;2QL
20775;3DI
20685;3BE
20936;3BE
20603;3DI
20924;3FI
20904;3DI
20690;3AL
20902;3AT
20898;3DI
20734;3CI
20697;2AI
20955;2NE
20968;3BL
20850;3DI
20876;3CI
20851;2HL
20845;3AT
20861;3EI
20822;3DI
20896;2FL
20726;3HI
20750;3BL
20899;3EI
20694;3BI
20897;3AL
20912;3GI
20636;3AL
20676;3CI
20915;3FI
20744;3DI
20793;3BE
20774;3GI
20663;3AL
20987;3AC
20873;3BL
21003;2GL
20741;3AI
20812;3CI
20933;3GI
20780;3BI
20947;3AI
20718;3AI
20819;3CE
20776;3AI
20983;3GI
20837;3GI
20847;3AT
20789;2ME
20948;3AT
20864;2QL
20872;3GI
20830;3FI
20579;3CI
20771;3AE
20631;3AL
20869;3DI
20614;3HI
20797;3EI
20974;3BL
20913;3AI
20889;3BL
20759;3AC
20644;3FI
20665;2LE
20995;2EI
20846;3CE
20950;3AI
20888;2NE
20699;3BE
20828;3AL
20605;3AT
20722;3GI
20854;3AI
20661;2IL
20970;3BL
20951;3BI
20770;3HI
20622;3BE
20954;3FI
20601;3AE
20618;3DI
20675;2FL
20785;3EI
20806;3BI
20984;2AI
20717;3AI
20701;3AT
20981;3AL
20621;3EI
20801;3BI
21004;3HI
20986;3AT
20927;3DI
20909;3FI
20593;3AC
20578;3AT
20834;3BI
20720;3GI
20918;3AI
20762;3AL
20580;3BE
20655;3EI
20923;3HI
20900;3FI
20703;3DI
20892;3AI
21001;3CI
20716;3AI
20786;2PE
21002;2DI
20777;3CI
20818;3BL
20952;2PE
20779;2IL
20942;3BL
20965;2EI
20844;2PE
20725;2LE
20959;3BL
20922;3BE
20752;3GI
20702;3FI
20883;3BE
20715;2NE
20998;3AC
20677;3BI
20817;3AT
20784;3EI
20639;3CI
20599;3AE
20874;3FI
20620;3AE
20672;3BI
20585;3HI
20990;3BL
20853;3HI
20666;3DI
20858;3DI
20791;2EI
20798;3AC
20794;2OE
20928;3FI
20790;3CI
20993;3AL
20625;2AI
20811;3CI
20992;3AL
20916;2OE
20910;3EI
20976;3BE
20887;3BE
20825;3GI
20863;3CE
20937;3FI
20988;3AL
20803;3GI
20589;3CE
20686;3AI
20667;3EI
20773;3DI
20878;3BI
20921;3GI
20608;3AL
20709;2FL
20707;3DI
20804;3EI
20802;3AT
20648;3AC
20736;3AE
20813;3CI
20967;3AE
20901;3AC
20610;3AC
20727;3HI
21005;3CI
21006;3AL
21009;3CI
21011;2LE
21010;3GI
21007;2LE
21008;3CE
21015;3AE
21013;2ME
21014;3DI
21017;5EI
21032;4FI
21033;4DI
21022;4AC
21025;3BI
21034;4CI
21031;4BE
21026;4AE
21019;4GI
21038;4BE
21023;3BI
21021;3GI
21028;4BL
21027;5EI
21042;4AL
21041;2HL
21043;3AC
21044;3BE
21048;4BI
21053;2NE
21046;4FI
21047;3AL
21049;4DI
21050;3AE
21051;4GI
21052;4DI
21055;5EI
21056;4EI
21210;2IL
21279;2OE
21225;2LE
21349;2OE
21118;2OE
21135;2GL
21097;1DI
21388;2FL
21230;2FL
21122;2AI
21176;2OE
21167;2OE
21148;2EI
21227;2BI
21212;2EI
21348;2HL
21319;2PE
21395;2QL
21387;2OE
21429;2HL
21257;2EI
21323;2NE
21300;2EI
21211;2EI
21337;2GL
21079;2GL
21428;2IL
21393;2GL
21140;2GL
21245;2GL
21254;2NE
21372;1NE
21171;1BI
21264;2EI
21410;2BI
21224;2LE
21110;2GL
21283;2ME
21200;2GL
21083;2HL
21289;2IL
21332;2GL
21255;2HL
21297;2QL
21328;2OE
